Frequency,Height of Transmitter,Height of Receiver,Gain of Transmitter,Gain of Receiver,Transmitted Power,Angle,No of Trees,Radius of Canopy,Height,Trunk Height,Trunk Radius,Vd,Distance,theta,Pathloss
2.4,1.5,1.5,4,3,20,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,47
2.4,1.5,1.5,4,3,20,45,0,0.0,0.0,0.0,0.0,0.0,7.075,22.57786509621167,51
2.4,1.5,1.5,4,3,20,90,0,0.0,0.0,0.0,0.0,0.0,9.15,21.47679095916613,54
2.4,1.5,1.5,4,3,20,135,1,3.6,7.2,1.44,0.216,0.267703467,11.225,14.68571180521489,60
2.4,1.5,1.5,4,3,20,180,1,3.6,7.2,1.44,0.216,0.267703467,13.3,0.0,66
2.4,1.5,1.5,4,3,20,225,1,3.6,7.2,1.44,0.216,0.267703467,11.225,14.68571180521489,68
2.4,1.5,1.5,4,3,20,270,0,0.0,0.0,0.0,0.0,0.0,9.15,21.47679095916613,60
2.4,1.5,1.5,4,3,20,315,0,0.0,0.0,0.0,0.0,0.0,7.075,22.57786509621167,55
2.4,1.5,1.5,4,3,20,360,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,47
2.4,1.5,1.5,4,3,20,0,1,3.6,7.2,1.44,0.216,0.267703467,13.3,0.0,64
2.4,1.5,1.5,4,3,20,45,1,3.6,7.2,1.44,0.216,0.267703467,15.875,15.885179927122472,61
2.4,1.5,1.5,4,3,20,90,1,3.6,7.2,1.44,0.216,0.267703467,18.45,15.740109133339187,63
2.4,1.5,1.5,4,3,20,135,2,5.2,8.2,1.64,0.246,0.534801472,21.025,12.126843674805242,73
2.4,1.5,1.5,4,3,20,180,2,5.2,8.2,1.64,0.246,0.534801472,23.6,0.0,76
2.4,1.5,1.5,4,3,20,225,2,5.2,8.2,1.64,0.246,0.534801472,21.025,12.126843674805242,80
2.4,1.5,1.5,4,3,20,270,1,3.6,7.2,1.44,0.216,0.267703467,18.45,15.740109133339187,72
2.4,1.5,1.5,4,3,20,315,1,3.6,7.2,1.44,0.216,0.267703467,15.875,15.885179927122472,67
2.4,1.5,1.5,4,3,20,360,1,3.6,7.2,1.44,0.216,0.267703467,13.3,0.0,64
2.4,1.5,1.5,4,3,20,0,2,5.2,8.2,1.64,0.246,0.534801472,23.6,0.0,77
2.4,1.5,1.5,4,3,20,45,2,5.2,8.2,1.64,0.246,0.534801472,25.525,5.994633441251687,75
2.4,1.5,1.5,4,3,20,90,2,5.2,8.2,1.64,0.246,0.534801472,27.45,6.855118990487688,76
2.4,1.5,1.5,4,3,20,135,3,3.3,7.5,1.5,0.225,0.804183885,29.375,5.213606824960019,78
2.4,1.5,1.5,4,3,20,180,3,3.3,7.5,1.5,0.225,0.804183885,31.3,0.0,87
2.4,1.5,1.5,4,3,20,225,3,3.3,7.5,1.5,0.225,0.804183885,29.375,5.213606824960019,85
2.4,1.5,1.5,4,3,20,270,2,5.2,8.2,1.64,0.246,0.534801472,27.45,6.855118990487688,82
2.4,1.5,1.5,4,3,20,315,2,5.2,8.2,1.64,0.246,0.534801472,25.525,5.994633441251687,79
2.4,1.5,1.5,4,3,20,360,2,5.2,8.2,1.64,0.246,0.534801472,23.6,0.0,77
2.4,1.5,1.5,4,3,20,0,3,3.3,7.5,1.5,0.225,0.804183885,31.3,0.0,87
2.4,1.5,1.5,4,3,20,45,3,3.3,7.5,1.5,0.225,0.804183885,33.5,5.6947741457050265,81
2.4,1.5,1.5,4,3,20,90,3,3.3,7.5,1.5,0.225,0.804183885,35.7,6.393031393503655,83
2.4,1.5,1.5,4,3,20,135,4,4.0,8.0,1.6,0.24,1.071274668,37.9,5.037262218549331,87
2.4,1.5,1.5,4,3,20,180,4,4.0,8.0,1.6,0.24,1.071274668,40.1,0.0,95
2.4,1.5,1.5,4,3,20,225,4,4.0,8.0,1.6,0.24,1.071274668,37.9,5.037262218549331,90
2.4,1.5,1.5,4,3,20,270,3,3.3,7.5,1.5,0.225,0.804183885,35.7,6.393031393503655,86
2.4,1.5,1.5,4,3,20,315,3,3.3,7.5,1.5,0.225,0.804183885,33.5,5.6947741457050265,84
2.4,1.5,1.5,4,3,20,360,3,3.3,7.5,1.5,0.225,0.804183885,31.3,0.0,87
2.4,1.5,1.5,4,3,20,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48
2.4,1.5,1.5,4,3,20,45,0,0.0,0.0,0.0,0.0,0.0,6.7,26.94604702594694,50
2.4,1.5,1.5,4,3,20,90,0,0.0,0.0,0.0,0.0,0.0,8.6,24.393739376883097,53
2.4,1.5,1.5,4,3,20,135,1,3.9,7.5,1.5,0.225,0.267665187,11.2,14.549719699582795,61
2.4,1.5,1.5,4,3,20,180,1,3.9,7.5,1.5,0.225,0.267665187,12.9,0.0,68
2.4,1.5,1.5,4,3,20,225,1,3.9,7.5,1.5,0.225,0.267665187,11.2,14.549719699582795,64
2.4,1.5,1.5,4,3,20,270,0,0.0,0.0,0.0,0.0,0.0,8.6,24.393739376883097,59
2.4,1.5,1.5,4,3,20,315,0,0.0,0.0,0.0,0.0,0.0,6.7,26.94604702594694,52
2.4,1.5,1.5,4,3,20,360,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48
